tahun,provinsi,komoditas,supply_ton,demand_ton,gap_ton,mapping_type,data_quality,forecast_supported,optimizer_mode,supply_index,demand_index
2018,Aceh,Beras Medium I,,580040.6,,exact,partial_demand,False,demand_only,,0.1073444519414942
2018,Bali,Beras Medium I,,537586.65,,exact,partial_demand,False,demand_only,,0.098915195011329
2018,Banten,Beras Medium I,,1268784.88,,exact,partial_demand,False,demand_only,,0.2440950368765037
2018,Bengkulu,Beras Medium I,,220855.4,,exact,partial_demand,False,demand_only,,0.03602801763296044
2018,DI Yogyakarta,Beras Medium I,,334284.60000000003,,exact,partial_demand,False,demand_only,,0.058549452509646736
2018,DKI Jakarta,Beras Medium I,,1013342.2000000001,,exact,partial_demand,False,demand_only,,0.19337674139045416
2018,Gorontalo,Beras Medium I,,134033.38,,exact,partial_demand,False,demand_only,,0.01878945411234711
2018,Jambi,Beras Medium I,,347078.85,,exact,partial_demand,False,demand_only,,0.06108975842885486
2018,Jawa Barat,Beras Medium I,,5075900.0,,exact,partial_demand,False,demand_only,,1.0
2018,Jawa Tengah,Beras Medium I,,3425757.44,,exact,partial_demand,False,demand_only,,0.6723632168587244
2018,Jawa Timur,Beras Medium I,,3775410.2100000004,,exact,partial_demand,False,demand_only,,0.7417869815419627
2018,Kalimantan Barat,Beras Medium I,,539121.0,,exact,partial_demand,False,demand_only,,0.09921984111306509
2018,Kalimantan Selatan,Beras Medium I,,420224.76,,exact,partial_demand,False,demand_only,,0.07561292220468116
2018,Kalimantan Tengah,Beras Medium I,,258326.0,,exact,partial_demand,False,demand_only,,0.04346782746755649
2018,Kalimantan Timur,Beras Medium I,,483519.08,,exact,partial_demand,False,demand_only,,0.08818004694808182
2018,Kalimantan Utara,Beras Medium I,,64823.1,,exact,partial_demand,False,demand_only,,0.00504771200522458
2018,Kepulauan Bangka Belitung,Beras Medium I,,138331.36,,exact,partial_demand,False,demand_only,,0.019642820588274826
2018,Kepulauan Riau,Beras Medium I,,197444.2,,exact,partial_demand,False,demand_only,,0.03137970999978418
2018,Lampung,Beras Medium I,,853251.84,,exact,partial_demand,False,demand_only,,0.16159070554496408
2018,Maluku,Beras Medium I,,158830.36,,exact,partial_demand,False,demand_only,,0.0237129091857188
2018,Maluku Utara,Beras Medium I,,148233.02,,exact,partial_demand,False,demand_only,,0.0216088010488713
2018,Nusa Tenggara Barat,Beras Medium I,,687732.0,,exact,partial_demand,False,demand_only,,0.12872664322803393
2018,Nusa Tenggara Timur,Beras Medium I,,650636.5800000001,,exact,partial_demand,False,demand_only,,0.12136132560476476
2018,Papua,Beras Medium I,,65489.59999999999,,exact,partial_demand,False,demand_only,,0.005180045975183913
2018,Papua Barat,Beras Medium I,,50886.159999999996,,exact,partial_demand,False,demand_only,,0.002280524309373034
2018,Riau,Beras Medium I,,608921.28,,exact,partial_demand,False,demand_only,,0.11307872806981403
2018,Sulawesi Barat,Beras Medium I,,175562.03,,exact,partial_demand,False,demand_only,,0.02703499217919143
2018,Sulawesi Selatan,Beras Medium I,,1022295.3900000001,,exact,partial_demand,False,demand_only,,0.1951544025704995
2018,Sulawesi Tengah,Beras Medium I,,351589.54,,exact,partial_demand,False,demand_only,,0.06198535860133179
2018,Sulawesi Tenggara,Beras Medium I,,300122.86,,exact,partial_demand,False,demand_only,,0.051766618788838606
2018,Sulawesi Utara,Beras Medium I,,295816.18,,exact,partial_demand,False,demand_only,,0.05091152492275538
2018,Sumatera Barat,Beras Medium I,,606215.75,,exact,partial_demand,False,demand_only,,0.11254154348505171
2018,Sumatera Selatan,Beras Medium I,,833029.0499999999,,exact,partial_demand,False,demand_only,,0.15757545860669858
2018,Sumatera Utara,Beras Medium I,,1632251.72,,exact,partial_demand,False,demand_only,,0.31626159334428233
2019,Aceh,Beras Medium I,,567663.4,,exact,partial_demand,False,demand_only,,0.10488695154692454
2019,Bali,Beras Medium I,,531340.83,,exact,partial_demand,False,demand_only,,0.09767508374913632
2019,Banten,Beras Medium I,,1243710.08,,exact,partial_demand,False,demand_only,,0.23911642047749948
2019,Bengkulu,Beras Medium I,,216365.6,,exact,partial_demand,False,demand_only,,0.03513656518236266
2019,DI Yogyakarta,Beras Medium I,,315377.10000000003,,exact,partial_demand,False,demand_only,,0.05479535718030521
2019,DKI Jakarta,Beras Medium I,,1005867.6,,exact,partial_demand,False,demand_only,,0.19189265513110224
2019,Gorontalo,Beras Medium I,,134157.6,,exact,partial_demand,False,demand_only,,0.018814118066958287
2019,Jambi,Beras Medium I,,337280.75,,exact,partial_demand,False,demand_only,,0.05914433986762672
2019,Jawa Barat,Beras Medium I,,4908395.3,,exact,partial_demand,False,demand_only,,0.9667418425538673
2019,Jawa Tengah,Beras Medium I,,3391346.93,,exact,partial_demand,False,demand_only,,0.6655309897069983
2019,Jawa Timur,Beras Medium I,,3699649.4700000007,,exact,partial_demand,False,demand_only,,0.7267446417201218
2019,Kalimantan Barat,Beras Medium I,,539697.6,,exact,partial_demand,False,demand_only,,0.09933432538475083
2019,Kalimantan Selatan,Beras Medium I,,415469.13,,exact,partial_demand,False,demand_only,,0.07466868905005594
2019,Kalimantan Tengah,Beras Medium I,,251213.5,,exact,partial_demand,False,demand_only,,0.042055636377780384
2019,Kalimantan Timur,Beras Medium I,,471143.04000000004,,exact,partial_demand,False,demand_only,,0.08572277687219956
2019,Kalimantan Utara,Beras Medium I,,64898.03999999999,,exact,partial_demand,False,demand_only,,0.00506259138663306
2019,Kepulauan Bangka Belitung,Beras Medium I,,136315.32,,exact,partial_demand,False,demand_only,,0.019242534651595432
2019,Kepulauan Riau,Beras Medium I,,192574.5,,exact,partial_demand,False,demand_only,,0.030412828179062535
2019,Lampung,Beras Medium I,,844681.23,,exact,partial_demand,False,demand_only,,0.15988900585063073
2019,Maluku,Beras Medium I,,164150.97999999998,,exact,partial_demand,False,demand_only,,0.024769321439649838
2019,Maluku Utara,Beras Medium I,,111140.42,,exact,partial_demand,False,demand_only,,0.014244043338273204
2019,Nusa Tenggara Barat,Beras Medium I,,695755.54,,exact,partial_demand,False,demand_only,,0.13031972184968063
2019,Nusa Tenggara Timur,Beras Medium I,,633983.04,,exact,partial_demand,False,demand_only,,0.11805475536909095
2019,Papua,Beras Medium I,,63664.47999999999,,exact,partial_demand,False,demand_only,,0.004817667317641255
2019,Papua Barat,Beras Medium I,,50651.12,,exact,partial_demand,False,demand_only,,0.0022338569780913516
2019,Riau,Beras Medium I,,606196.7999999999,,exact,partial_demand,False,demand_only,,0.11253778095132218
2019,Sulawesi Barat,Beras Medium I,,175714.56,,exact,partial_demand,False,demand_only,,0.02706527710107875
2019,Sulawesi Selatan,Beras Medium I,,994562.4,,exact,partial_demand,False,demand_only,,0.189648000971786
2019,Sulawesi Tengah,Beras Medium I,,337071.48,,exact,partial_demand,False,demand_only,,0.059102789185116
2019,Sulawesi Tenggara,Beras Medium I,,293314.77999999997,,exact,partial_demand,False,demand_only,,0.05041487047045788
2019,Sulawesi Utara,Beras Medium I,,288196.26,,exact,partial_demand,False,demand_only,,0.04939858529128871
2019,Sumatera Barat,Beras Medium I,,592612.86,,exact,partial_demand,False,demand_only,,0.1098406816146539
2019,Sumatera Selatan,Beras Medium I,,828564.7999999999,,exact,partial_demand,False,demand_only,,0.15668907912374141
2019,Sumatera Utara,Beras Medium I,,1581737.16,,exact,partial_demand,False,demand_only,,0.3062318975220032
2020,Aceh,Beras Medium I,,568226.0,,exact,partial_demand,False,demand_only,,0.10499865611031406
