Tahun,Provinsi,Jumlah_B2SA_Goes_to_School
2023,Aceh,4
2023,Bali,4
2023,Banten,4
2023,Bengkulu,4
2023,DI Yogyakarta,4
2023,DKI Jakarta,1
2023,Jambi,6
2023,Jawa Barat,4
2023,Jawa Tengah,4
2023,Jawa Timur,4
2023,Kalimantan Barat,4
2023,Kalimantan Selatan,4
2023,Kalimantan Tengah,4
2023,Kalimantan Timur ,4
2023,Kalimantan Utara,4
2023,Kepulauan Bangka Belitung,4
2023,Kepulauan Riau,4
2023,Lampung,4
2023,Maluku,4
2023,Maluku Utara,4
2023,Nusa Tenggara Barat,4
2023,Nusa Tenggara Timur,4
2023,Papua,4
2023,Papua Barat,3
2023,Riau,4
2023,Sulawesi Barat,4
2023,Sulawesi Selatan,4
2023,Sulawesi Tengah,4
2023,Sulawesi Tenggara,4
2023,Sulawesi Utara,4
2023,Sumatera Barat,4
2023,Sumatera Selatan,4
2023,Sumatera Utara,4
