Tahun,Provinsi,Jumlah_Pengembangan_Desa_B2SA
2023,Aceh,3
2023,Bali,2
2023,Banten,2
2023,Bengkulu,3
2023,DI Yogyakarta,2
2023,DKI Jakarta,2
2023,Gorontalo,2
2023,Jambi,2
2023,Jawa Barat,2
2023,Jawa Tengah,2
2023,Jawa Timur,2
2023,Kalimantan Barat,2
2023,Kalimantan Selatan,2
2023,Kalimantan Tengah,3
2023,Kalimantan Timur ,2
2023,Kalimantan Utara,2
2023,Kepulauan Bangka Belitung,2
2023,Kepulauan Riau,2
2023,Lampung,2
2023,Maluku,3
2023,Maluku Utara,2
2023,Nusa Tenggara Barat,2
2023,Nusa Tenggara Timur,5
2023,Papua,2
2023,Papua Barat,2
2023,Sulawesi Barat,3
2023,Sulawesi Selatan,2
2023,Sulawesi Tengah,2
2023,Sulawesi Tenggara,2
2023,Sulawesi Utara,2
2023,Sumatera Barat,2
2023,Sumatera Selatan,2
2023,Sumatera Utara,3
