No.,Kode Provinsi,Provinsi,Tahun,Jumlah pelaku usaha,Jumlah alat
1,11,Aceh,2024,1,8
2,12,Sumatera Utara,2024,2,8
3,21,Kepulauan Riau,2024,1,11
4,16,Sumatera Selatan,2024,2,22
5,18,Lampung,2024,2,15
6,32,Jawa Barat,2024,1,1
7,36,Banten,2024,1,3
8,34,DI Yogyakarta,2024,3,17
9,33,Jawa Tengah,2024,1,14
10,35,Jawa Timur,2024,3,9
11,61,Kalimantan Barat,2024,1,1
12,62,Kalimantan Tengah,2024,2,10
13,64,Kalimantan Timur,2024,1,4
14,51,Bali,2024,1,3
15,53,Nusa Tenggara Timur,2024,2,21
16,52,Nusa Tenggara Barat,2024,2,26
17,73,Sulawesi Selatan,2024,2,12
18,74,Sulawesi Tenggara,2024,1,3
19,71,Sulawesi Utara,2024,2,11
20,81,Maluku,2024,1,18
21,82,Maluku Utara,2024,2,5
22,32,Jawa Barat,2025,2,10
23,33,Jawa Tengah,2025,1,5
