Tahun,Kode Provinsi,Provinsi,Jumlah_B2SA_Goes_to_School (lokasi sekolah)
2023,11,Aceh,4
2023,51,Bali,4
2023,36,Banten,4
2023,17,Bengkulu,4
2023,34,DI Yogyakarta,4
2023,31,DKI Jakarta,1
2023,15,Jambi,6
2023,32,Jawa Barat,4
2023,33,Jawa Tengah,4
2023,35,Jawa Timur,4
2023,61,Kalimantan Barat,4
2023,63,Kalimantan Selatan,4
2023,62,Kalimantan Tengah,4
2023,64,Kalimantan Timur ,4
2023,65,Kalimantan Utara,4
2023,19,Kepulauan Bangka Belitung,4
2023,21,Kepulauan Riau,4
2023,18,Lampung,4
2023,81,Maluku,4
2023,82,Maluku Utara,4
2023,52,Nusa Tenggara Barat,4
2023,53,Nusa Tenggara Timur,4
2023,14,Riau,4
2023,76,Sulawesi Barat,4
2023,73,Sulawesi Selatan,4
2023,72,Sulawesi Tengah,4
2023,74,Sulawesi Tenggara,4
2023,71,Sulawesi Utara,4
2023,13,Sumatera Barat,4
2023,16,Sumatera Selatan,4
2023,12,Sumatera Utara,4
2023,94,Papua,4
2023,91,Papua Barat,3
2024,11,Aceh,10
2024,12,Sumatera Utara,10
2024,14,Riau,10
2024,21,Kepulauan Riau,10
2024,13,Sumatera Barat,10
2024,15,Jambi,10
2024,16,Sumatera Selatan,10
2024,17,Bengkulu,10
2024,19,Kep. Bangka Belitung,10
2024,18,Lampung,10
2024,36,Banten,10
2024,31,DKI Jakarta,10
2024,32,Jawa Barat,10
2024,33,Jawa Tengah ,10
2024,34,DI Yogyakarta,10
2024,35,Jawa Timur,10
2024,61,Kalimantan Barat,10
2024,64,Kalimantan Timur,10
2024,65,Kalimantan Utara,10
2024,63,Kalimantan Selatan,10
2024,62,Kalimantan Tengah,10
2024,51,Bali,10
2024,53,Nusa Tenggara Timur,10
2024,52,Nusa Tenggara Barat,10
2024,74,Sulawesi Tenggara,10
2024,71,Sulawesi Utara,10
2024,72,Sulawesi Tengah,4
2024,73,Sulawesi Selatan,10
2024,76,Sulawesi Barat,10
2024,81,Maluku,6
2024,82,Maluku Utara,10
2024,75,Gorontalo,10
2024,91,Papua,7
2024,92,Papua Barat,7
2024,93,Papua Selatan,10
2024,95,Papua Pegunungan,5
2024,96,Papua Barat Daya,10
2025,36,Banten,4
2025,31,DKI Jakarta,2
2025,32,Jawa Barat,8
2025,33,Jawa Tengah,1
2025,35,Jawa Timur,1
2025,16,Sumatera Selatan,1
