No,Kelompok Bahan Pangan,Komoditas Pangan,Peningkatan konsumsi pangan,Tahun 
1,Padi-padian,Padi-padian,5.48,2018
2,Padi-padian,Beras,1.78,2018
3,Padi-padian,Jagung,8.51,2018
4,Padi-padian,Terigu,30.40,2018
5,Umbi-umbian,Umbi-umbian,-20.15,2018
6,Umbi-umbian,Singkong,-23.39,2018
7,Umbi-umbian,Ubi Jalar,-20.50,2018
8,Umbi-umbian,Kentang,-7.34,2018
9,Umbi-umbian,Sagu,2.74,2018
10,Umbi-umbian,Umbi Lainnya,-20.57,2018
11,Pangan Hewani,Pangan Hewani,-2.40,2018
12,Pangan Hewani,Daging Ruminansia,89.83,2018
13,Pangan Hewani,Daging Unggas,-10.87,2018
14,Pangan Hewani,Telur,-7.31,2018
15,Pangan Hewani,Susu,33.81,2018
16,Pangan Hewani,Ikan,-11.58,2018
17,Minyak dan Lemak,Minyak dan Lemak,-5.09,2018
18,Minyak dan Lemak,Minyak Kelapa,9.39,2018
19,Minyak dan Lemak,Minyak Sawit,-9.32,2018
20,Minyak dan Lemak,Minyak Lainnya,-,2018
21,Buah/biji berminyak,Buah/biji berminyak,-41.07,2018
22,Buah/biji berminyak,Kelapa,-39.13,2018
23,Buah/biji berminyak,Kemiri,-50.53,2018
24,Kacang-kacangan,Kacang-kacangan,6.74,2018
25,Kacang-kacangan,Kedelai,0.86,2018
26,Kacang-kacangan,Kacang Tanah,-13.28,2018
27,Kacang-kacangan,Kacang Hijau,-,2018
28,Kacang-kacangan,Kacang Lain,-,2018
29,Gula,Gula,-26.15,2018
30,Gula,Gula Pasir,-25.42,2018
31,Gula,Gula Merah,-33.77,2018
32,Sayuran dan buah,Sayuran dan buah,10.27,2018
33,Sayuran dan buah,Sayur,3.96,2018
34,Sayuran dan buah,Buah,21.15,2018
35,Lain-lain,Lain-lain,20.12,2018
36,Lain-lain,Minuman,19.52,2018
37,Lain-lain,Bumbu-Bumbuan,26.91,2018
38,Padi-padian,Padi-padian,-2.20,2019
39,Padi-padian,Beras,-2.29,2019
40,Padi-padian,Jagung,4.67,2019
41,Padi-padian,Terigu,-2.31,2019
42,Umbi-umbian,Umbi-umbian,-3.26,2019
43,Umbi-umbian,Singkong,-9.25,2019
44,Umbi-umbian,Ubi Jalar,1.72,2019
45,Umbi-umbian,Kentang,19.52,2019
46,Umbi-umbian,Sagu,-14.08,2019
47,Umbi-umbian,Umbi Lainnya,-18.18,2019
48,Pangan Hewani,Pangan Hewani,-0.97,2019
49,Pangan Hewani,Daging Ruminansia,-25.65,2019
50,Pangan Hewani,Daging Unggas,3.98,2019
51,Pangan Hewani,Telur,-0.28,2019
52,Pangan Hewani,Susu,-4.65,2019
53,Pangan Hewani,Ikan,3.22,2019
54,Minyak dan Lemak,Minyak dan Lemak,0.62,2019
55,Minyak dan Lemak,Minyak Kelapa,-14.04,2019
56,Minyak dan Lemak,Minyak Sawit,1.36,2019
57,Minyak dan Lemak,Minyak Lainnya,18.28,2019
58,Buah/biji berminyak,Buah/biji berminyak,-0.66,2019
59,Buah/biji berminyak,Kelapa,-2.70,2019
60,Buah/biji berminyak,Kemiri,11.53,2019
61,Kacang-kacangan,Kacang-kacangan,-3.14,2019
62,Kacang-kacangan,Kedelai,-4.34,2019
63,Kacang-kacangan,Kacang Tanah,8.22,2019
64,Kacang-kacangan,Kacang Hijau,7.91,2019
65,Kacang-kacangan,Kacang Lain,12.15,2019
66,Gula,Gula,-2.22,2019
67,Gula,Gula Pasir,-2.68,2019
68,Gula,Gula Merah,3.17,2019
69,Sayuran dan buah,Sayuran dan buah,-1.48,2019
70,Sayuran dan buah,Sayur,1.66,2019
71,Sayuran dan buah,Buah,-6.13,2019
72,Lain-lain,Lain-lain,1.70,2019
73,Lain-lain,Minuman,1.96,2019
74,Lain-lain,Bumbu-Bumbuan,-1.06,2019
75,Padi-padian,Padi-padian,-1.25,2020
76,Padi-padian,Beras,-0.92,2020
77,Padi-padian,Jagung,7.48,2020
78,Padi-padian,Terigu,-3.83,2020
79,Umbi-umbian,Umbi-umbian,-4.82,2020
80,Umbi-umbian,Singkong,-0.25,2020
81,Umbi-umbian,Ubi Jalar,-7.47,2020
82,Umbi-umbian,Kentang,-12.85,2020
83,Umbi-umbian,Sagu,-12.70,2020
84,Umbi-umbian,Umbi Lainnya,-30.16,2020
85,Pangan Hewani,Pangan Hewani,0.98,2020
86,Pangan Hewani,Daging Ruminansia,0.22,2020
87,Pangan Hewani,Daging Unggas,4.18,2020
88,Pangan Hewani,Telur,1.67,2020
89,Pangan Hewani,Susu,1.49,2020
90,Pangan Hewani,Ikan,-0.31,2020
91,Minyak dan Lemak,Minyak dan Lemak,2.42,2020
92,Minyak dan Lemak,Minyak Kelapa,-12.75,2020
93,Minyak dan Lemak,Minyak Sawit,3.19,2020
94,Minyak dan Lemak,Minyak Lainnya,12.73,2020
95,Buah/biji berminyak,Buah/biji berminyak,-6.52,2020
96,Buah/biji berminyak,Kelapa,-5.79,2020
97,Buah/biji berminyak,Kemiri,-10.33,2020
98,Kacang-kacangan,Kacang-kacangan,-5.02,2020
99,Kacang-kacangan,Kedelai,-5.81,2020
100,Kacang-kacangan,Kacang Tanah,-7.59,2020
101,Kacang-kacangan,Kacang Hijau,-7.33,2020
102,Kacang-kacangan,Kacang Lain,33.75,2020
103,Gula,Gula,-1.77,2020
104,Gula,Gula Pasir,-1.65,2020
105,Gula,Gula Merah,-3.07,2020
106,Sayuran dan buah,Sayuran dan buah,-5.11,2020
107,Sayuran dan buah,Sayur,-4.73,2020
108,Sayuran dan buah,Buah,-5.73,2020
109,Lain-lain,Lain-lain,-1.67,2020
110,Lain-lain,Minuman,-1.92,2020
111,Lain-lain,Bumbu-Bumbuan,1.07,2020
112,Padi-padian,Padi-padian,-0.09,2021
113,Padi-padian,Beras,0.43,2021
114,Padi-padian,Jagung,-16.67,2021
115,Padi-padian,Terigu,-1.17,2021
116,Umbi-umbian,Umbi-umbian,20.53,2021
117,Umbi-umbian,Singkong,22.09,2021
118,Umbi-umbian,Ubi Jalar,18.75,2021
119,Umbi-umbian,Kentang,12.00,2021
120,Umbi-umbian,Sagu,0.00,2021
121,Umbi-umbian,Umbi Lainnya,75.00,2021
122,Pangan Hewani,Pangan Hewani,3.47,2021
123,Pangan Hewani,Daging Ruminansia,-5.26,2021
124,Pangan Hewani,Daging Unggas,6.41,2021
125,Pangan Hewani,Telur,2.74,2021
126,Pangan Hewani,Susu,-6.67,2021
127,Pangan Hewani,Ikan,5.16,2021
128,Minyak dan Lemak,Minyak dan Lemak,7.92,2021
129,Minyak dan Lemak,Minyak Kelapa,16.67,2021
130,Minyak dan Lemak,Minyak Sawit,7.69,2021
131,Minyak dan Lemak,Minyak Lainnya,0.00,2021
132,Buah/biji berminyak,Buah/biji berminyak,7.69,2021
133,Buah/biji berminyak,Kelapa,0.00,2021
134,Buah/biji berminyak,Kemiri,50.00,2021
135,Kacang-kacangan,Kacang-kacangan,1.09,2021
136,Kacang-kacangan,Kedelai,3.66,2021
137,Kacang-kacangan,Kacang Tanah,0.00,2021
138,Kacang-kacangan,Kacang Hijau,-25.00,2021
139,Kacang-kacangan,Kacang Lain,-33.33,2021
140,Gula,Gula,4.11,2021
141,Gula,Gula Pasir,2.99,2021
142,Gula,Gula Merah,16.67,2021
143,Sayuran dan buah,Sayuran dan buah,-2.36,2021
144,Sayuran dan buah,Sayur,4.40,2021
145,Sayuran dan buah,Buah,-13.31,2021
146,Lain-lain,Lain-lain,-15.38,2021
147,Lain-lain,Minuman,-17.48,2021
148,Lain-lain,Bumbu-Bumbuan,6.90,2021
149,Padi-padian,Padi-padian,-1.42,2022
150,Padi-padian,Beras,-0.95,2022
151,Padi-padian,Jagung,-6.67,2022
152,Padi-padian,Terigu,-3.55,2022
153,Umbi-umbian,Umbi-umbian,-3.85,2022
154,Umbi-umbian,Singkong,-7.62,2022
155,Umbi-umbian,Ubi Jalar,-7.89,2022
156,Umbi-umbian,Kentang,14.29,2022
157,Umbi-umbian,Sagu,0.00,2022
158,Umbi-umbian,Umbi Lainnya,14.29,2022
159,Pangan Hewani,Pangan Hewani,3.13,2022
160,Pangan Hewani,Daging Ruminansia,8.33,2022
161,Pangan Hewani,Daging Unggas,7.23,2022
162,Pangan Hewani,Telur,1.33,2022
163,Pangan Hewani,Susu,-3.57,2022
164,Pangan Hewani,Ikan,2.68,2022
165,Minyak dan Lemak,Minyak dan Lemak,-6.42,2022
166,Minyak dan Lemak,Minyak Kelapa,-42.86,2022
167,Minyak dan Lemak,Minyak Sawit,-3.06,2022
168,Minyak dan Lemak,Minyak Lainnya,-25.00,2022
169,Buah/biji berminyak,Buah/biji berminyak,-7.14,2022
170,Buah/biji berminyak,Kelapa,-9.09,2022
171,Buah/biji berminyak,Kemiri,0.00,2022
172,Kacang-kacangan,Kacang-kacangan,9.68,2022
173,Kacang-kacangan,Kedelai,9.41,2022
174,Kacang-kacangan,Kacang Tanah,0.00,2022
175,Kacang-kacangan,Kacang Hijau,33.33,2022
176,Kacang-kacangan,Kacang Lain,0.00,2022
177,Gula,Gula,-5.26,2022
178,Gula,Gula Pasir,-5.80,2022
179,Gula,Gula Merah,0.00,2022
180,Sayuran dan buah,Sayuran dan buah,4.96,2022
181,Sayuran dan buah,Sayur,1.83,2022
182,Sayuran dan buah,Buah,11.07,2022
183,Lain-lain,Lain-lain,0.70,2022
184,Lain-lain,Minuman,-1.18,2022
185,Lain-lain,Bumbu-Bumbuan,16.13,2022
186,Padi-padian,Padi-padian,0.81,2023
187,Padi-padian,Beras,0.32,2023
188,Padi-padian,Jagung,0.00,2023
189,Padi-padian,Terigu,3.68,2023
190,Umbi-umbian,Umbi-umbian,1.14,2023
191,Umbi-umbian,Singkong,3.09,2023
192,Umbi-umbian,Ubi Jalar,2.86,2023
193,Umbi-umbian,Kentang,-9.38,2023
194,Umbi-umbian,Sagu,0.00,2023
195,Umbi-umbian,Umbi Lainnya,12.50,2023
196,Pangan Hewani,Pangan Hewani,-1.95,2023
197,Pangan Hewani,Daging Ruminansia,5.13,2023
198,Pangan Hewani,Daging Unggas,2.25,2023
199,Pangan Hewani,Telur,-5.26,2023
200,Pangan Hewani,Susu,-3.70,2023
201,Pangan Hewani,Ikan,-3.48,2023
202,Minyak dan Lemak,Minyak dan Lemak,0.98,2023
203,Minyak dan Lemak,Minyak Kelapa,-25.00,2023
204,Minyak dan Lemak,Minyak Sawit,1.05,2023
205,Minyak dan Lemak,Minyak Lainnya,33.33,2023
206,Buah/biji berminyak,Buah/biji berminyak,0.00,2023
207,Buah/biji berminyak,Kelapa,10.00,2023
208,Buah/biji berminyak,Kemiri,-33.33,2023
209,Kacang-kacangan,Kacang-kacangan,-15.69,2023
210,Kacang-kacangan,Kedelai,-16.13,2023
211,Kacang-kacangan,Kacang Tanah,0.00,2023
212,Kacang-kacangan,Kacang Hijau,0.00,2023
213,Kacang-kacangan,Kacang Lain,-50.00,2023
214,Gula,Gula,-9.72,2023
215,Gula,Gula Pasir,-9.23,2023
216,Gula,Gula Merah,-14.29,2023
217,Sayuran dan buah,Sayuran dan buah,1.27,2023
218,Sayuran dan buah,Sayur,-0.36,2023
219,Sayuran dan buah,Buah,4.18,2023
220,Lain-lain,Lain-lain,4.86,2023
221,Lain-lain,Minuman,6.35,2023
222,Lain-lain,Bumbu-Bumbuan,-5.56,2023
