Provinsi,Produksi Padi - Produksi Padi (ton) (Ton),Produksi Padi - Produksi Beras (ton) (Ton)
Aceh,1509456.46,869572
Sumatera Utara,2088583.81,1198045.75
Sumatera Barat,1373532.19,795306.36
Riau,213557.23,122561.42
Jambi,277743.83,160667.47
Sumatera Selatan,2775069.26,1593597.7
Bengkulu,281610.09,162197.49
Lampung,2688159.74,1545296.21
Kepulauan Bangka Belitung,61425.07,36408.55
Kepulauan Riau,506.91,290.07
DKI Jakarta,2337.77,1378
Jawa Barat,9433723.09,5447806.31
Jawa Tengah,9356445.49,5380509.51
DI Yogyakarta,561699.53,319059.52
Jawa Timur,9526515.67,5500801.88
Banten,1788582.6,1018653.08
Bali,680601.6,383829.16
Nusa Tenggara Barat,1452945.47,827524.88
Nusa Tenggara Timur,756049.91,442841.89
Kalimantan Barat,731225.8,432586.93
Kalimantan Tengah,343918.75,204291.82
Kalimantan Selatan,819419.2,484832.09
Kalimantan Timur,239425.34,139266.1
Kalimantan Utara,30533.59,18101.49
Sulawesi Utara,243730.28,136960.27
Sulawesi Tengah,744408.7,439408.72
Sulawesi Selatan,5360169.37,3075859.99
Sulawesi Tenggara,478958.03,275055.53
Gorontalo,240134.53,134082.02
Sulawesi Barat,353513.29,203031.6
Maluku,92601.06,51857.42
Maluku Utara,24486.03,13702.55
Papua Barat,23963.92,14398.76
Papua Barat Daya,–,–
Papua,193943.47,110739.23
Papua Selatan,–,–
Papua Tengah,–,–
Papua Pegunungan,–,–
Indonesia,54748977.08,31540521.77
,,
Catatan,,
<sup>1</sup> Kualitas produksi gabah kering giling (GKG)/<i>The production form is dry unhusked paddy</i><sup>2</sup> Data masih bergabung dengan Provinsi Papua Barat/<i>The data were included in Papua Barat Province</i><sup>3</sup> Data masih bergabung dengan Provinsi Papua/<i>The data were included in Papua Province</i>,,
