Provinsi,Produksi Padi - Produksi Padi (ton) (Ton),Produksi Padi - Produksi Beras (ton) (Ton)
Aceh,1615200,930489
Sumatera Utara,2752655,1578968
Sumatera Barat,1382697,800613
Riau,232071,133187
Jambi,367791,212757
Sumatera Selatan,3627022,2082836
Bengkulu,266567,153533
Lampung,3252627,1869782
Kepulauan Bangka Belitung,64304,38115
Kepulauan Riau,688,394
DKI Jakarta,1487,877
Jawa Barat,10226654,5905710
Jawa Tengah,9304063,5350386
DI Yogyakarta,547510,311000
Jawa Timur,10438361,6027320
Banten,1774017,1010357
Bali,587866,331531
Nusa Tenggara Barat,1708619,973144
Nusa Tenggara Timur,968324,567178
Kalimantan Barat,757829,448325
Kalimantan Tengah,333429,198061
Kalimantan Selatan,1179338,697788
Kalimantan Timur,270867,157555
Kalimantan Utara,38038,22550
Sulawesi Utara,265112,148975
Sulawesi Tengah,920086,543107
Sulawesi Selatan,5466592,3136929
Sulawesi Tenggara,680820,390981
Gorontalo,281171,156995
Sulawesi Barat,386084,221738
Maluku,103819,58139
Maluku Utara,22642,12670
Papua Barat,13366,8031
Papua Barat Daya,830,499
Papua,1859,1061
Papua Selatan,362542,207007
Papua Tengah,3805,2173
Papua Pegunungan,346,198
Indonesia,60207101,34690959
,,
Catatan,,
<sup>1 </sup>Kualitas produksi gabah kering giling/<i>The production is in term of dry unhusked paddy</i>,,
