Jenis Tanaman,Produksi Buah-Buahan dan Sayuran Tahunan
Alpukat/Avocado(kw/qui),10696760.28
Anggur/Grape(kw/qui),209621.92
Apel/Apple(kw/qui),1581400.01
Belimbing/Star Fruit(kw/qui),1130332.51
Duku/Langsat/Kokosan/Duku(kw/qui),2294042.37
Durian/Durian(kw/qui),17265042.41
Jambu Air/Water Apple(kw/qui),2264815.53
Jambu Biji/Guava(kw/qui),3759409.3
Jengkol/Jengkol(kw/qui),1795095.82
Jeruk Besar/Pomelo(kw/qui),1066999.56
Jeruk Siam/Keprok/Orange/Tangerine(kw/qui),23598265.96
Mangga/Mango(kw/qui),30087287.84
Manggis/Mangosteen(kw/qui),3091479.58
Melinjo/Gnetum/Melinjo(kw/qui),2304169.11
Nangka/Cempedak/Jackfruit(kw/qui),8167979.61
Nenas/Pineapple(kw/qui),32146905.18
Pepaya/Papaya(kw/qui),12813072.37
Petai/Twisted Cluster Bean(kw/qui),3947513.58
Pisang/Banana(kw/qui),98174214.89
Rambutan/Rambutan(kw/qui),8049152.88
Salak/Snakefruit(kw/qui),12634639.55
Sawo/Sapodilla/Sawo(kw/qui),1696442.43
Sirsak/Soursop(kw/qui),1131992.26
Sukun/Breadfruit(kw/qui),1744212.97
Buah Naga/Hylocereus polyrhizus(kw/qui),4660688.8
Jeruk Lemon/Lemon(kw/qui),530756.27
Lengkeng/Dimocarpus longan(kw/qui),659234.49
