Provinsi,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Blewah (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Besar (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Jamur (kilogram) (Kg),Produksi Kacang Merah (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Lobak (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw)
Aceh,14790,112465,7956,38379,1,10783,734437,647816,13501,70419,112201,78108,5140,120065,143654,60700,198522,-,1824,-,37546,82707,628,105510,207815,9220
Sumatera Utara,136147,292221,13387,127862,6,365966,1938617,611601,13166,16193,321890,169965,577393,1243255,246284,2019661,112027,10683,12594,-,754237,636267,605,815275,1627443,993062
Sumatera Barat,438142,1537702,49063,51735,202,406394,1331898,333559,189554,600,194723,95356,177598,231659,303754,2117108,377645,2309,27769,-,339288,188927,648,749596,1134909,321973
Riau,30,2633,-,88601,582,10,167351,86270,101954,-,100452,107690,23,-,174259,8,2275,-,16713,400,14232,306575,-,114350,1577,400
Jambi,37871,119766,5015,28611,522,52668,471331,135880,27757,26770,82083,41672,16067,1250009,62680,421648,77539,3804,13572,37,73594,60688,-,119699,196520,63312
Sumatera Selatan,28350,9341,1154,43868,2949,44429,284969,116450,203158,637,89417,76380,2999,4219,110534,39137,46830,-,12417,50,43831,140857,38,150090,106200,21559
Bengkulu,177194,11534,9706,8696,105,276084,396377,114757,10304,11759,50976,29697,118162,36135,120903,729174,125234,-,6963,-,334085,14059,282,661306,230334,403900
Lampung,35364,21048,8082,72253,285,52672,379866,105581,224512,5481,135001,120506,2978,13055,120672,77635,33327,2,6219,16,105725,250068,5,210722,190957,63958
Kepulauan Bangka Belitung,2012,1574,-,17553,390,3358,69546,33859,4614,-,21659,22840,-,-,44646,-,3014,1064,5064,-,12314,41438,-,32486,5359,-
Kepulauan Riau,3443,1226,-,33782,1080,2563,41815,22301,1778,-,39427,40434,-,-,48076,-,-,-,2026,-,27928,25998,-,22092,2346,-
DKI Jakarta,-,-,-,36460,-,-,-,-,-,-,-,40772,-,-,-,-,-,-,-,-,25544,-,-,-,-,-
