Provinsi,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kilogram) (Kg),Produksi Jamur Merang (kilogram) (Kg),Produksi Jamur Lainnya (kilogram) (Kg)
Aceh,12799,101357,300,43120,5847,516863,125577,73074,6045,159974,129358,42245,148295,3430,-,32062,77248,597,115982,117059,3890,43106,540712,750,69,4
Sumatera Utara,156325,539621,8051,179799,498564,786630,283864,230710,591001,1590135,229749,2337609,140471,17545,-,749079,198985,833,513203,2031620,1414457,74641,2027558,3025,13,-
Sumatera Barat,441485,2003656,18388,71250,417383,351179,249605,107217,160804,152007,292006,1743873,320461,19850,-,352828,202833,2740,1072680,972706,254571,396,1157264,2031,-,-
Riau,10,3295,-,83776,84,66939,91634,106457,-,-,168076,-,5773,7572,-,16734,160457,-,101683,1507,-,15392,125581,8058,0,407
Jambi,44361,132637,1324,37607,42847,115261,74743,41902,17240,1293362,57758,514606,112150,4850,902,122189,49793,88,148189,238898,67536,161216,437333,872,96,1
Sumatera Selatan,30994,11246,356,39727,35370,115624,105685,72754,3387,5242,124882,41505,31448,21005,4,40549,143852,208,134415,88361,23594,77343,158214,5329,1300,402
Bengkulu,184287,9901,2519,7213,298034,162781,63582,26932,126904,35727,145224,766894,157383,2705,-,356338,6040,566,806603,308679,423664,345483,142296,27366,108,10
Lampung,39637,17618,1117,83624,44539,109213,156518,139328,8326,1785,124910,60727,26470,6759,-,101797,183205,-,215228,159338,55785,130177,215319,34047,4814,9312
Kepulauan Bangka Belitung,1983,2079,-,11157,5164,39541,27827,24608,1,-,51841,75,3395,2664,-,16540,22675,-,38015,11474,-,10494,40100,328,-,-
Kepulauan Riau,2464,332,-,25612,2554,16270,39540,34409,-,-,30622,96,1,128,-,14954,16006,-,4626,4250,0,7968,21700,1470,-,-
DKI Jakarta,-,19,-,34690,-,6,1,53444,65,-,3,60,-,45,-,26840,2,-,146,-,-,-,-,-,-,-
Jawa Barat,1670077,1706503,9632,344909,860934,1374563,831119,671778,263262,2404817,1482725,2318706,1064102,10285,43729,1889439,68409,64575,999581,2923088,1351166,1738926,1691741,151521,49605,33049
Jawa Tengah,1305559,5642547,255446,104424,275601,1792869,301419,292841,393589,2777246,282696,2266953,1148725,241351,833,1092937,579530,11645,475114,772968,1530262,669143,1023681,115965,1133,2950
DI Yogyakarta,957,298087,-,20381,3220,159332,23627,57914,1888,294,14279,12,639,145496,-,41363,51837,5,27177,9491,-,25377,358402,7467,2971,599
Jawa Timur,980085,5009921,42196,137662,285963,5788830,380700,384803,381339,3243377,535698,1930262,481265,685267,77810,826127,1382450,8384,905188,931206,916662,976848,297442,312977,52377,50472
Banten,2584,11896,6,89722,551,39933,143723,123883,870,40,178576,510,329,1692,-,67858,8374,64,53866,11901,2156,21137,42920,1690,-,1600
Bali,10547,232151,10399,9428,70357,291749,59569,59201,18204,1142,78354,389920,701195,2021,853,245193,128182,2909,15602,121719,17803,117468,-,679,-,-
Nusa Tenggara Barat,21030,2226197,92234,8256,23235,625389,100385,46417,9228,20358,34830,130641,13470,26677,-,36278,218661,435,80938,285144,50525,107134,53723,9925,222,7
Nusa Tenggara Timur,21368,114300,5787,51555,44478,90759,68171,144834,7592,4103,61998,34175,158843,4444,1495,133763,20215,1615,144707,106049,33769,18445,13733,19,-,3
Kalimantan Barat,10089,1037,-,27010,18352,63318,72217,47622,231,-,109333,277,2616,5666,8,51184,45324,-,72542,41075,50,25580,2332,678,-,74
Kalimantan Tengah,19545,341,-,15781,29274,69614,69618,27884,939,-,78161,277,952,7623,2,28385,148328,3124,64670,35049,-,12909,4204,2631,-,13
Kalimantan Selatan,8083,3886,-,16734,19578,117577,47491,16379,476,-,49049,110,-,11479,-,14414,188301,-,52252,50673,-,78011,11756,2581,-,-
Kalimantan Timur,4262,724,-,53340,52387,83671,96907,123308,1197,-,122480,40,1191,4676,420,69146,40473,-,108095,91010,-,31560,27604,548,-,1
Kalimantan Utara,12820,875,-,23779,11968,58189,15956,41141,-,-,55224,-,898,4398,-,18911,14562,-,121999,60083,-,39235,2371,15,-,-
Sulawesi Utara,814690,49860,112,6120,19318,173706,31857,50184,13194,1201871,35533,750846,420308,7529,-,480223,7435,-,131972,667111,550015,1595,88823,10,-,-
Sulawesi Tengah,68785,46516,2110,11721,13297,221985,29781,28772,6243,6560,29560,367351,53357,12961,116,147661,37980,12,50618,176337,62123,29516,35764,26,125,28
Sulawesi Selatan,382033,1832095,471,66421,73210,264232,128986,142322,16371,710826,84041,598682,134623,4685,-,155901,63348,663,113014,633730,442090,159314,18903,2409,1,1
Sulawesi Tenggara,5084,10153,-,24365,2026,42867,43088,39510,975,-,21827,1212,8763,3244,-,11914,11900,132,58204,48000,15,16755,7357,10,3,3
Gorontalo,135,3463,60,169,-,130318,1594,1310,5,-,914,15,88,894,-,245,1363,-,2379,28077,-,6698,2389,-,-,-
Sulawesi Barat,2456,6931,360,13718,454,33357,24097,18770,-,1013,12634,20,1248,24,-,6328,1642,-,15218,14830,80,16216,8442,-,-,-
Maluku,4557,10125,-,18004,11728,35962,28048,49177,915,29,27438,8797,15765,3080,233,38035,7966,-,32715,40243,74,7890,12404,-,-,-
Maluku Utara,7251,12314,-,5386,4190,37325,24006,16738,228,-,14972,199,7847,1754,3,12378,4520,-,31356,54490,5,2286,28117,-,-,2
Papua Barat,1982,1185,46,23487,11733,38076,27794,36066,436,711,23481,2615,1876,1177,234,16350,3894,2,16959,22141,425,5673,3440,1,-,-
Papua,10209,3038,2,27108,25499,50541,68125,80274,2892,21,31178,37395,5592,18496,5,60730,46637,-,38457,85690,184,29929,229,-,-,-
