Provinsi,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kilogram) (Kg),Produksi Jamur Merang (kilogram) (Kg),Produksi Jamur Lainnya (kilogram) (Kg)
Aceh,11935,136726,200,42747,6251,729202,128000,71250,4171,91092,148638,85922,25912,14,30547,105377,144309,1905,2716,976434,80,19,1
Sumatera Utara,176690,655852,154,168949,483280,868802,316824,250171,573838,1391722,285731,2280989,163303,38,779699,685932,2038676,1458099,126698,2052475,623,0,-
Sumatera Barat,620726,2339173,5878,65700,414039,250812,148330,96960,102962,316022,188008,1760814,227832,-,234033,976975,1004294,249509,6,1274499,570,-,-
Riau,174,3227,-,100940,262,66068,82134,134636,54,-,141492,-,1002,22,30617,73679,2280,-,12392,86397,1581,-,510
Jambi,94222,184013,5270,57335,66474,160868,79410,62892,29488,1860376,56361,872862,110428,75,227326,219420,405927,151628,12196,1566369,1278,-,-
Sumatera Selatan,30223,11970,495,30428,29492,77655,68492,57524,7977,14237,94853,49195,27205,9,40925,123641,87814,19425,30116,122586,1635,-,11512
Bengkulu,163600,6706,150,5536,290928,225462,82108,27980,118282,32905,172715,684278,132783,38,331005,784127,367310,362127,342571,216184,10519,0,1
Lampung,37423,21930,7,76050,55938,140701,133658,131899,4817,1827,115272,78277,44207,206,114044,204412,206780,74256,71392,218783,13811,2029,2784
Kepulauan Bangka Belitung,4998,1757,-,11331,11267,55079,34865,17405,-,-,59675,-,17,-,13590,42550,20392,-,9561,63139,117,-,-
Kepulauan Riau,2108,170,-,32681,1626,12449,28083,40074,-,-,29526,1,0,-,25354,5474,1030,-,5437,28853,579,-,-
DKI Jakarta,-,3,-,26393,-,15,2,41553,111,-,0,101,1158,-,19512,156,5,-,0,2,-,-,-
Jawa Barat,1631356,1793554,2076,330618,784350,1639891,665755,632002,309684,2264196,1251704,2114400,1339196,46602,1551081,981002,2680727,1039722,1386710,1862975,320487,38266,123
Jawa Tengah,1259420,4790909,290473,117855,315955,2492077,219062,301454,326293,2486999,280167,1887995,1067414,229,1082176,604997,965369,1491031,486099,1883106,86845,445,6705
DI Yogyakarta,2442,329526,-,31864,2484,213836,24258,57538,1651,-,16224,355,783,-,46724,36968,11042,0,24237,441985,6168,794,32
Jawa Timur,1214211,4846695,10533,135867,218856,5628161,300744,305396,189182,2788039,475640,2025771,323502,154225,752994,987562,1040921,771900,847119,299407,65927,4462,2213
Banten,2699,8600,-,77966,1280,32269,55583,105078,297,-,78721,522,481,18,68199,28618,6147,1642,10823,40474,912,390,-
Bali,8179,353739,1671,8196,50975,205230,46782,74474,14285,2402,55679,247293,534961,2581,206104,16586,52182,16750,70826,-,3548,-,-
Nusa Tenggara Barat,23300,2126183,70568,4707,28384,679631,67119,66638,9063,22010,41814,76331,2432,103,27671,143710,305734,45515,108288,51165,8076,1,104
Nusa Tenggara Timur,16349,114091,3458,54650,41133,90736,54838,140196,7391,4517,44103,28674,198171,129,126285,125779,112560,30032,13039,18891,1,-,-
Kalimantan Barat,8327,1095,-,34844,12281,82783,65364,46379,368,-,90433,-,456,-,40358,57388,27747,-,25419,5407,3,5,-
Kalimantan Tengah,13806,723,-,11631,11826,69687,40045,20790,451,-,55108,-,222,11,24784,56220,31672,-,6213,3782,3757,-,-
Kalimantan Selatan,7561,4835,-,9827,21115,132551,38778,14026,533,-,40097,8,-,-,9630,48736,50794,-,64760,22873,2957,-,-
Kalimantan Timur,6763,2522,-,47425,44025,74704,67469,93938,1625,-,105926,44,1847,-,70856,94196,69290,-,11827,36473,2944,-,-
Kalimantan Utara,20107,3505,-,20573,30384,63712,31054,39378,1,-,52309,-,13676,-,30039,94389,100100,-,53296,12992,1382,-,-
Sulawesi Utara,559281,31530,-,6364,17138,179784,18163,38964,14250,602169,21850,961208,161481,-,564678,82662,592349,535341,157,80115,-,-,-
Sulawesi Tengah,87466,32277,1519,12967,12878,215521,25941,24998,7748,8103,27068,276114,17133,279,86517,84855,137176,70872,26128,65171,7,-,-
Sulawesi Selatan,350610,2014215,8,44557,47552,284177,84332,95732,23551,595942,87166,510602,106548,62,184997,117306,648043,359867,123486,41631,3919,-,1
Sulawesi Tenggara,5703,4907,-,26316,6208,45290,36672,39798,146,6,23728,2553,6494,-,16042,46492,43550,-,17637,16853,139,-,-
Gorontalo,200,2374,-,465,84,155226,3250,2731,13,-,4793,-,-,-,217,6405,54801,-,-,12469,-,-,-
Sulawesi Barat,2311,10757,80,18654,139,37099,27248,19876,-,300,21298,70,2012,-,9189,22995,26094,22,28593,11661,-,-,-
Maluku,4275,6068,-,20789,8877,45307,23366,33040,634,261,27860,3892,2868,89,28452,33963,36135,232,3875,14740,-,-,-
Maluku Utara,10575,6106,-,8306,3996,37174,41575,27573,40,-,25393,105,5358,-,12400,55015,85803,-,-,54203,-,-,-
Papua Barat,2939,3234,1,10427,14184,10457,8814,17867,260,1733,19184,3209,7239,-,8447,14475,25724,1434,3368,1361,-,-,-
Papua Barat Daya,1765,194,-,13540,3803,19646,9013,18581,75,-,5503,365,10,-,10141,7097,10696,2,1483,6951,-,-,-
Papua,827,127,-,20384,758,7953,7216,20793,283,-,3975,11314,3545,-,20762,6173,7366,-,2455,1066,-,-,-
Papua Selatan,3541,2922,-,2935,3190,11503,8181,7857,856,-,5444,14661,1721,-,11612,5294,8448,-,7042,96,-,-,-
Papua Tengah,9904,10,-,16994,8842,25577,21691,43370,2,-,13761,11434,558,-,31214,18338,28381,129,14428,3010,-,-,-
Papua Pegunungan,739,111,5,65,232,526,-,20,346,277,61,697,676,-,536,-,210,340,14,-,-,-,-
Indonesia,6396754,19852333,392544,1706876,3050487,15067621,3094217,3220828,1750727,12485134,4167281,13990053,4532632,204729,6868757,6998963,11437877,6681780,3950408,11594576,537866,46410,23986
,,,,,,,,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,,,,,,,,
