Provinsi,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kuintal) (Kw),Produksi Jamur Merang (kuintal) (Kw),Produksi Jamur Lainnya (kuintal) (Kw)
Aceh,6896.5,131843.96,-,49610.05,1863,644939.16,156366.13,76455.61,4171,110241,171082.75,34235.92,12595.5,3083.6,160,23702.79,55702,457,98381.79,109431.69,1103.5,34266,659969.05,358.55,23.3,-
Sumatera Utara,224163.3,580699.86,366.5,175810.08,591592.35,841180.3,301071.84,244620.46,633798.4,1366082.14,262529.46,2569200.4,160540.67,26424.5,1,869650.78,335660.05,1599.4,827456.97,2156612.6,1705327.6,29294.19,1916636.2,14875.92,145.5,-
Sumatera Barat,626795.34,2307184.11,8678.5,69060.3,487499.68,277163.69,142584.61,84624.2,105884.5,174808,194220.05,2488817.5,309678.66,17477,-,272577.28,97219.83,914.5,836407.55,855874.65,258010.6,2.26,1141695.55,769.56,-,-
Riau,159.7,2455.15,-,93012.73,73.1,62856.38,90389.66,121781.28,36.52,-,111918.99,-,1120.5,16282.04,-,33707.71,210476.21,-,69740.24,2720.43,-,11396.1,79071,8871.53,-,590
Jambi,106562.8,122876.65,2260,49967.77,59913.5,435784.76,87112.8,64119,51665,1379840,63990.15,749582,67186,13804.2,-,318056.85,82017.95,213.81,357901.75,561832.1,105435,11156,1703414.68,1202.21,-,-
Sumatera Selatan,23293.2,8965.03,-,29139.23,21282.75,89519.57,58329.02,39568.15,2693.3,7615,58261.14,28765.3,16945.91,15832.66,15,31281.16,76349.07,51.1,92217.09,68282.01,16890,66037.9,109846.74,25446.89,-,2937
Bengkulu,140644.25,7222.15,-,2814.46,254228.91,242079.1,90098.6,24067.05,108248,35858,179248.25,643812.8,133718,3371.1,7.7,302723.65,13417.6,648,769588.09,326629.59,335428.5,296531.85,169233.09,5540.54,0.17,0.05
Lampung,39169.52,16487.2,-,74455.14,32327.5,113333.83,121362.98,134081.88,4088,525,108628.13,40495.47,22226.25,33962.3,-,112154.87,179342.9,-,186402.81,135864.02,72899.5,59858.1,212322.05,14369.21,2615.93,2535.9
Kepulauan Bangka Belitung,2189.1,1198.46,-,11493.27,4415.2,60092.78,15562.99,16339.81,-,-,32351.41,-,36.6,2473.8,-,13607.77,28159.3,-,22827.91,9573.32,-,-,77745.34,372.11,-,-
Kepulauan Riau,4526.9,1022.9,-,39799.57,2705.15,14877.92,35168.45,45577.31,0.3,-,35008.34,-,0.7,-,-,29000.29,15192.85,-,7703.54,2832.95,60,4496.84,40587.68,359.3,-,-
DKI Jakarta,-,129.27,-,26831.94,-,404.15,5.24,37592.51,66,-,29.5,-,0.35,28.17,-,19502.74,2.01,-,272.57,26.7,-,1.2,120.6,0.01,-,-
Jawa Barat,1679364.83,1998916.86,3433,322040,725193.79,1637558.85,609758.01,634428.87,337641.05,2496534,1183893.87,2427164.91,1420075.72,15984.78,22812.4,1498384.19,72849.8,280892.08,1014777.1,2647101.29,1002212,1441340.45,1800944.66,170771.04,24477.62,332.8
Jawa Tengah,1155694,6078967.21,277838.04,123339.4,295527.81,2480670.16,185975.94,285142.29,257821.25,2958773,260505.4,1730552.5,958597.63,278448.12,122.4,882276.41,543191.26,23677.65,519747.22,1026286.65,1300492.75,407699.86,1610360.95,71562.93,462.84,8912.57
DI Yogyakarta,2550,333117.91,-,26928.44,3631.5,290844.06,24710.59,58255.59,478.43,10,13669.68,1.14,1026.55,103182.82,-,49459.98,82448.14,7.55,33520.37,11765.67,-,29994.3,453980.74,16037.99,553.7,74.65
