No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKE
1,1109,Kabupaten Simeulue,Aceh,2021,89.3
2,1110,Kabupaten Aceh Singkil,Aceh,2021,106.1
3,1101,Kabupaten Aceh Selatan,Aceh,2021,106.3
4,1102,Kabupaten Aceh Tenggara,Aceh,2021,102.6
5,1103,Kabupaten Aceh Timur,Aceh,2021,100.7
6,1104,Kabupaten Aceh Tengah,Aceh,2021,111.9
7,1105,Kabupaten Aceh Barat,Aceh,2021,117.5
8,1106,Kabupaten Aceh Besar,Aceh,2021,97.3
9,1107,Kabupaten Pidie,Aceh,2021,109.9
10,1111,Kabupaten Bireuen,Aceh,2021,105.5
11,1108,Kabupaten Aceh Utara,Aceh,2021,92.2
12,1112,Kabupaten Aceh Barat Daya,Aceh,2021,103.5
13,1113,Kabupaten Gayo Lues,Aceh,2021,130.2
14,1116,Kabupaten Aceh Tamiang,Aceh,2021,95.1
15,1115,Kabupaten Nagan Raya,Aceh,2021,121.1
16,1114,Kabupaten Aceh Jaya,Aceh,2021,114.8
17,1117,Kabupaten Bener Meriah,Aceh,2021,109.8
18,1118,Kabupaten Pidie Jaya,Aceh,2021,115.8
19,1171,Kota Banda Aceh,Aceh,2021,96.6
20,1172,Kota Sabang,Aceh,2021,98.9
21,1174,Kota Langsa,Aceh,2021,97.1
22,1173,Kota Lhokseumawe,Aceh,2021,97.5
23,1175,Kota Subulussalam,Aceh,2021,101
24,1204,Kabupaten Nias,Sumatera Utara,2021,97.3
25,1213,Kabupaten Mandailing Natal,Sumatera Utara,2021,103
26,1203,Kabupaten Tapanuli Selatan,Sumatera Utara,2021,107.1
27,1201,Kabupaten Tapanuli Tengah,Sumatera Utara,2021,101
28,1202,Kabupaten Tapanuli Utara,Sumatera Utara,2021,107.5
29,1212,Kabupaten Toba Samosir,Sumatera Utara,2021,108.5
30,1210,Kabupaten Labuhan Batu,Sumatera Utara,2021,90.2
31,1209,Kabupaten Asahan,Sumatera Utara,2021,98.7
32,1208,Kabupaten Simalungun,Sumatera Utara,2021,103
33,1211,Kabupaten Dairi,Sumatera Utara,2021,105.8
34,1206,Kabupaten Karo,Sumatera Utara,2021,118
35,1207,Kabupaten Deli Serdang,Sumatera Utara,2021,100.4
36,1205,Kabupaten Langkat,Sumatera Utara,2021,10
37,1214,Kabupaten Nias Selatan,Sumatera Utara,2021,105.4
38,1216,Kabupaten Humbang Hasundutan,Sumatera Utara,2021,109.5
39,1215,Kabupaten Pakpak Bharat,Sumatera Utara,2021,108.5
40,1217,Kabupaten Samosir,Sumatera Utara,2021,109.6
41,1218,Kabupaten Serdang Bedagai,Sumatera Utara,2021,102.2
42,1219,Kabupaten Batu Bara,Sumatera Utara,2021,102.2
43,1220,Kabupaten Padang Lawas Utara,Sumatera Utara,2021,115.1
44,1221,Kabupaten Padang Lawas,Sumatera Utara,2021,107.6
45,1222,Kabupaten Labuhan Batu Selatan,Sumatera Utara,2021,107.6
46,1223,Kabupaten Labuhan Batu Utara,Sumatera Utara,2021,102.5
47,1224,Kabupaten Nias Utara,Sumatera Utara,2021,100.5
48,1225,Kabupaten Nias Barat,Sumatera Utara,2021,94.9
