No.,Kode Provinsi,Nama Provinsi,Tahun,%AKE
1,11,Aceh,2018,100.2
2,12,Sumatera Utara,2018,104.1
3,13,Sumatera Barat,2018,103.3
4,14,Riau,2018,99.2
5,15,Jambi,2018,100.4
6,16,Sumatera Selatan,2018,101.7
7,17,Bengkulu,2018,103.1
8,18,Lampung,2018,86.7
9,19,Kepulauan Bangka Belitung,2018,102.3
10,21,Kepulauan Riau,2018,100.7
11,31,DKI Jakarta,2018,106.2
12,32,Jawa Barat,2018,105.6
13,33,Jawa Tengah,2018,100.4
14,34,DI Yogyakarta,2018,106.1
15,35,Jawa Timur,2018,101.6
16,36,Banten,2018,107.8
17,51,Bali,2018,108.8
18,52,Nusa Tenggara Barat,2018,111.0
19,53,Nusa Tenggara Timur,2018,93.7
20,61,Kalimantan Barat,2018,91.7
21,62,Kalimantan Tengah,2018,104.0
22,63,Kalimantan Selatan,2018,109.1
23,64,Kalimantan Timur,2018,95.2
24,65,Kalimantan Utara,2018,94.0
25,71,Sulawesi Utara,2018,105.0
26,72,Sulawesi Tengah,2018,99.3
27,73,Sulawesi Selatan,2018,104.2
28,74,Sulawesi Tenggara,2018,101.2
29,75,Gorontalo,2018,98.5
30,76,Sulawesi Barat,2018,97.5
31,81,Maluku,2018,88.9
32,82,Maluku Utara,2018,98.3
33,91,Papua Barat,2018,96.9
34,94,Papua,2018,87.7
35,11,Aceh,2019,98.1
36,12,Sumatera Utara,2019,103.8
37,13,Sumatera Barat,2019,101.5
38,14,Riau,2019,98.6
39,15,Jambi,2019,101.5
40,16,Sumatera Selatan,2019,98.1
41,17,Bengkulu,2019,101.1
42,18,Lampung,2019,99.5
43,19,Kepulauan Bangka Belitung,2019,97.8
44,21,Kepulauan Riau,2019,102.3
45,31,DKI Jakarta,2019,104.4
46,32,Jawa Barat,2019,104.7
47,33,Jawa Tengah,2019,97.5
48,34,DI Yogyakarta,2019,104.9
49,35,Jawa Timur,2019,99.5
50,36,Banten,2019,107.1
51,51,Bali,2019,107.6
52,52,Nusa Tenggara Barat,2019,117.5
53,53,Nusa Tenggara Timur,2019,91.8
54,61,Kalimantan Barat,2019,91.1
55,62,Kalimantan Tengah,2019,102.4
56,63,Kalimantan Selatan,2019,113.5
57,64,Kalimantan Timur,2019,96.3
58,65,Kalimantan Utara,2019,95.6
59,71,Sulawesi Utara,2019,102.1
60,72,Sulawesi Tengah,2019,96.1
61,73,Sulawesi Selatan,2019,99.5
62,74,Sulawesi Tenggara,2019,102.1
63,75,Gorontalo,2019,100.3
64,76,Sulawesi Barat,2019,101.2
65,81,Maluku,2019,89.1
66,82,Maluku Utara,2019,84.0
67,91,Papua Barat,2019,88.8
68,94,Papua,2019,95.9
69,11,Aceh,2020,99.6
70,12,Sumatera Utara,2020,101.0
71,13,Sumatera Barat,2020,100.5
72,14,Riau,2020,98.9
73,15,Jambi,2020,101.9
74,16,Sumatera Selatan,2020,99.1
75,17,Bengkulu,2020,101.3
76,18,Lampung,2020,100.3
77,19,Kepulauan Bangka Belitung,2020,96.4
78,21,Kepulauan Riau,2020,101.0
79,31,DKI Jakarta,2020,104.7
80,32,Jawa Barat,2020,103.5
81,33,Jawa Tengah,2020,97.8
82,34,DI Yogyakarta,2020,102.2
83,35,Jawa Timur,2020,99.1
84,36,Banten,2020,107.2
85,51,Bali,2020,109.2
86,52,Nusa Tenggara Barat,2020,116.3
87,53,Nusa Tenggara Timur,2020,92.8
88,61,Kalimantan Barat,2020,90.9
89,62,Kalimantan Tengah,2020,102.0
90,63,Kalimantan Selatan,2020,108.2
91,64,Kalimantan Timur,2020,96.2
92,65,Kalimantan Utara,2020,92.6
93,71,Sulawesi Utara,2020,102.5
94,72,Sulawesi Tengah,2020,97.1
95,73,Sulawesi Selatan,2020,96.6
96,74,Sulawesi Tenggara,2020,99.7
97,75,Gorontalo,2020,97.4
