No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKP
1,1109,Kabupaten Simeulue,Aceh,2021,168.8
2,1110,Kabupaten Aceh Singkil,Aceh,2021,182.8
3,1101,Kabupaten Aceh Selatan,Aceh,2021,165.7
4,1102,Kabupaten Aceh Tenggara,Aceh,2021,180.9
5,1103,Kabupaten Aceh Timur,Aceh,2021,167.1
6,1104,Kabupaten Aceh Tengah,Aceh,2021,172.4
7,1105,Kabupaten Aceh Barat,Aceh,2021,171.4
8,1106,Kabupaten Aceh Besar,Aceh,2021,158.1
9,1107,Kabupaten Pidie,Aceh,2021,172.9
10,1111,Kabupaten Bireuen,Aceh,2021,175
11,1108,Kabupaten Aceh Utara,Aceh,2021,161
12,1112,Kabupaten Aceh Barat Daya,Aceh,2021,174.9
13,1113,Kabupaten Gayo Lues,Aceh,2021,202
14,1116,Kabupaten Aceh Tamiang,Aceh,2021,159.9
15,1115,Kabupaten Nagan Raya,Aceh,2021,250.3
16,1114,Kabupaten Aceh Jaya,Aceh,2021,188
17,1117,Kabupaten Bener Meriah,Aceh,2021,196.5
18,1118,Kabupaten Pidie Jaya,Aceh,2021,175.9
19,1171,Kota Banda Aceh,Aceh,2021,157.1
20,1172,Kota Sabang,Aceh,2021,175.2
21,1174,Kota Langsa,Aceh,2021,156.5
22,1173,Kota Lhokseumawe,Aceh,2021,156.5
23,1175,Kota Subulussalam,Aceh,2021,177.2
24,1204,Kabupaten Nias,Sumatera Utara,2021,182.5
25,1213,Kabupaten Mandailing Natal,Sumatera Utara,2021,191.2
26,1203,Kabupaten Tapanuli Selatan,Sumatera Utara,2021,185
27,1201,Kabupaten Tapanuli Tengah,Sumatera Utara,2021,159.6
28,1202,Kabupaten Tapanuli Utara,Sumatera Utara,2021,188.6
29,1212,Kabupaten Toba Samosir,Sumatera Utara,2021,197.7
30,1210,Kabupaten Labuhan Batu,Sumatera Utara,2021,172.5
31,1209,Kabupaten Asahan,Sumatera Utara,2021,167.7
32,1208,Kabupaten Simalungun,Sumatera Utara,2021,181
33,1211,Kabupaten Dairi,Sumatera Utara,2021,174
34,1206,Kabupaten Karo,Sumatera Utara,2021,195.9
35,1207,Kabupaten Deli Serdang,Sumatera Utara,2021,169
36,1205,Kabupaten Langkat,Sumatera Utara,2021,169.1
37,1214,Kabupaten Nias Selatan,Sumatera Utara,2021,178.1
38,1216,Kabupaten Humbang Hasundutan,Sumatera Utara,2021,190.9
39,1215,Kabupaten Pakpak Bharat,Sumatera Utara,2021,19.3
40,1217,Kabupaten Samosir,Sumatera Utara,2021,192.8
41,1218,Kabupaten Serdang Bedagai,Sumatera Utara,2021,176.5
42,1219,Kabupaten Batu Bara,Sumatera Utara,2021,161
43,1220,Kabupaten Padang Lawas Utara,Sumatera Utara,2021,191.9
44,1221,Kabupaten Padang Lawas,Sumatera Utara,2021,178.9
45,1222,Kabupaten Labuhan Batu Selatan,Sumatera Utara,2021,171
46,1223,Kabupaten Labuhan Batu Utara,Sumatera Utara,2021,171.9
47,1224,Kabupaten Nias Utara,Sumatera Utara,2021,180.1
48,1225,Kabupaten Nias Barat,Sumatera Utara,2021,171.2
