No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Energi 
1,1109,Kabupaten Simeulue,Aceh,2021,1876
2,1110,Kabupaten Aceh Singkil,Aceh,2021,2228
3,1101,Kabupaten Aceh Selatan,Aceh,2021,2232
4,1102,Kabupaten Aceh Tenggara,Aceh,2021,2154
5,1103,Kabupaten Aceh Timur,Aceh,2021,2115
6,1104,Kabupaten Aceh Tengah,Aceh,2021,2349
7,1105,Kabupaten Aceh Barat,Aceh,2021,2467
8,1106,Kabupaten Aceh Besar,Aceh,2021,2044
9,1107,Kabupaten Pidie,Aceh,2021,2307
10,1111,Kabupaten Bireuen,Aceh,2021,2216
11,1108,Kabupaten Aceh Utara,Aceh,2021,1937
12,1112,Kabupaten Aceh Barat Daya,Aceh,2021,2173
13,1113,Kabupaten Gayo Lues,Aceh,2021,2734
14,1116,Kabupaten Aceh Tamiang,Aceh,2021,1997
15,1115,Kabupaten Nagan Raya,Aceh,2021,2544
16,1114,Kabupaten Aceh Jaya,Aceh,2021,2410
17,1117,Kabupaten Bener Meriah,Aceh,2021,2306
18,1118,Kabupaten Pidie Jaya,Aceh,2021,2431
19,1171,Kota Banda Aceh,Aceh,2021,2028
20,1172,Kota Sabang,Aceh,2021,2077
21,1174,Kota Langsa,Aceh,2021,2039
22,1173,Kota Lhokseumawe,Aceh,2021,2047
23,1175,Kota Subulussalam,Aceh,2021,2120
24,1204,Kabupaten Nias,Sumatera Utara,2021,2043
25,1213,Kabupaten Mandailing Natal,Sumatera Utara,2021,2162
26,1203,Kabupaten Tapanuli Selatan,Sumatera Utara,2021,2249
27,1201,Kabupaten Tapanuli Tengah,Sumatera Utara,2021,2122
28,1202,Kabupaten Tapanuli Utara,Sumatera Utara,2021,2258
29,1212,Kabupaten Toba Samosir,Sumatera Utara,2021,2278
30,1210,Kabupaten Labuhan Batu,Sumatera Utara,2021,1894
31,1209,Kabupaten Asahan,Sumatera Utara,2021,2073
32,1208,Kabupaten Simalungun,Sumatera Utara,2021,2163
33,1211,Kabupaten Dairi,Sumatera Utara,2021,2222
34,1206,Kabupaten Karo,Sumatera Utara,2021,2479
35,1207,Kabupaten Deli Serdang,Sumatera Utara,2021,2109
36,1205,Kabupaten Langkat,Sumatera Utara,2021,2090
37,1214,Kabupaten Nias Selatan,Sumatera Utara,2021,2214
38,1216,Kabupaten Humbang Hasundutan,Sumatera Utara,2021,2299
39,1215,Kabupaten Pakpak Bharat,Sumatera Utara,2021,2279
40,1217,Kabupaten Samosir,Sumatera Utara,2021,2301
41,1218,Kabupaten Serdang Bedagai,Sumatera Utara,2021,2147
42,1219,Kabupaten Batu Bara,Sumatera Utara,2021,2147
43,1220,Kabupaten Padang Lawas Utara,Sumatera Utara,2021,2418
44,1221,Kabupaten Padang Lawas,Sumatera Utara,2021,2259
45,1222,Kabupaten Labuhan Batu Selatan,Sumatera Utara,2021,2260
46,1223,Kabupaten Labuhan Batu Utara,Sumatera Utara,2021,2152
47,1224,Kabupaten Nias Utara,Sumatera Utara,2021,2111
48,1225,Kabupaten Nias Barat,Sumatera Utara,2021,1993
49,1273,Kota Sibolga,Sumatera Utara,2021,1896
50,1274,Kota Tanjung Balai,Sumatera Utara,2021,2160
51,1272,Kota Pematang Siantar,Sumatera Utara,2021,2139
52,1276,Kota Tebing Tinggi,Sumatera Utara,2021,2148
53,1271,Kota Medan,Sumatera Utara,2021,2164
54,1275,Kota Binjai,Sumatera Utara,2021,1997
55,1277,Kota Padang Sidimpuan,Sumatera Utara,2021,2222
56,1278,Kota Gunungsitoli,Sumatera Utara,2021,2037
57,1309,Kabupaten Kepulauan Mentawai,Sumatera Barat,2021,2121
58,1301,Kabupaten Pesisir Selatan,Sumatera Barat,2021,2071
59,1302,Kabupaten Solok,Sumatera Barat,2021,2194
60,1303,Kabupaten Sijunjung,Sumatera Barat,2021,2184
61,1304,Kabupaten Tanah Datar,Sumatera Barat,2021,2147
62,1305,Kabupaten Padang Pariaman,Sumatera Barat,2021,2074
63,1306,Kabupaten Agam,Sumatera Barat,2021,2102
64,1307,Kabupaten Limapuluh Koto,Sumatera Barat,2021,2246
65,1308,Kabupaten Pasaman,Sumatera Barat,2021,2308
66,1311,Kabupaten Solok Selatan,Sumatera Barat,2021,2303
67,1310,Kabupaten Dharmas Raya,Sumatera Barat,2021,2149
68,1312,Kabupaten Pasaman Barat,Sumatera Barat,2021,2183
69,1371,Kota Padang,Sumatera Barat,2021,2053
70,1372,Kota Solok,Sumatera Barat,2021,2085
71,1373,Kota Sawah Lunto,Sumatera Barat,2021,2162
72,1374,Kota Padang Panjang,Sumatera Barat,2021,1910
73,1375,Kota Bukittinggi,Sumatera Barat,2021,2212
74,1376,Kota Payakumbuh,Sumatera Barat,2021,1990
75,1377,Kota Pariaman,Sumatera Barat,2021,2054
76,1409,Kabupaten Kuantan Sengingi,Riau,2021,2169
77,1402,Kabupaten Indragiri Hulu,Riau,2021,1982
78,1404,Kabupaten Indragiri Hilir,Riau,2021,2081
79,1405,Kabupaten Pelalawan,Riau,2021,2141
80,1408,Kabupaten Siak,Riau,2021,2124
81,1401,Kabupaten Kampar,Riau,2021,2062
82,1406,Kabupaten Rokan Hulu,Riau,2021,2177
83,1403,Kabupaten Bengkalis,Riau,2021,2022
84,1407,Kabupaten Rokan Hilir,Riau,2021,2164
85,1410,Kabupaten Kepulauan Meranti,Riau,2021,2044
86,1471,Kota Pekanbaru,Riau,2021,1989
87,1472,Kota Dumai,Riau,2021,2040
88,1501,Kabupaten Kerinci,Jambi,2021,1974
89,1502,Kabupaten Merangin,Jambi,2021,1995
90,1503,Kabupaten Sarolangun,Jambi,2021,1929
91,1504,Kabupaten Batang Hari,Jambi,2021,2243
92,1505,Kabupaten Muaro Jambi,Jambi,2021,2124
93,1507,Kabupaten Tanjung Jabung Timur,Jambi,2021,1998
94,1506,Kabupaten Tanjung Jabung Barat,Jambi,2021,2009
95,1509,Kabupaten Tebo,Jambi,2021,2280
96,1508,Kabupaten Bungo,Jambi,2021,2119
97,1571,Kota Jambi,Jambi,2021,2118
98,1572,Kota Sungai Penuh,Jambi,2021,2063
99,1601,Kabupaten Ogan Komering Ulu,Sumatera Selatan,2021,2119
100,1602,Kabupaten Ogan Komering Ilir,Sumatera Selatan,2021,2385
101,1603,Kabupaten Muara Enim,Sumatera Selatan,2021,2142
102,1604,Kabupaten Lahat,Sumatera Selatan,2021,2291
103,1605,Kabupaten Musi Rawas,Sumatera Selatan,2021,2153
104,1606,Kabupaten Musi Banyuasin,Sumatera Selatan,2021,2252
105,1607,Kabupaten Banyuasin,Sumatera Selatan,2021,2459
106,1609,Kabupaten Ogan Komering Ulu Selatan,Sumatera Selatan,2021,2083
107,1608,Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,2021,2336
108,1610,Kabupaten Ogan Ilir,Sumatera Selatan,2021,2182
109,1611,Kabupaten Empat Lawang,Sumatera Selatan,2021,2150
110,1612,Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,2021,2178
111,1613,Kabupaten Musi Rawas Utara,Sumatera Selatan,2021,2194
112,1671,Kota Palembang,Sumatera Selatan,2021,2161
113,1674,Kota Prabumulih,Sumatera Selatan,2021,1871
114,1672,Kota Pagar Alam,Sumatera Selatan,2021,2224
115,1673,Kota Lubuklinggau,Sumatera Selatan,2021,2255
116,1701,Kabupaten Bengkulu Selatan,Bengkulu,2021,2114
117,1702,Kabupaten Rejang Lebong,Bengkulu,2021,2173
118,1703,Kabupaten Bengkulu Utara,Bengkulu,2021,2233
119,1704,Kabupaten Kaur,Bengkulu,2021,2374
120,1705,Kabupaten Seluma,Bengkulu,2021,2029
121,1706,Kabupaten Mukomuko,Bengkulu,2021,2088
122,1707,Kabupaten Lebong,Bengkulu,2021,2308
123,1708,Kabupaten Kepahiang,Bengkulu,2021,2233
124,1709,Kabupaten Bengkulu Tengah,Bengkulu,2021,2342
125,1771,Kota Bengkulu,Bengkulu,2021,1925
126,1804,Kabupaten Lampung Barat,Lampung,2021,2199
127,1806,Kabupaten Tanggamus,Lampung,2021,2066
128,1801,Kabupaten Lampung Selatan,Lampung,2021,2168
129,1807,Kabupaten Lampung Timur,Lampung,2021,2083
130,1802,Kabupaten Lampung Tengah,Lampung,2021,2232
131,1803,Kabupaten Lampung Utara,Lampung,2021,1930
132,1808,Kabupaten Way Kanan,Lampung,2021,2173
133,1805,Kabupaten Tulang Bawang,Lampung,2021,1893
134,1809,Kabupaten Pesawaran,Lampung,2021,2190
135,1810,Kabupaten Pringsewu,Lampung,2021,2151
136,1811,Kabupaten Mesuji,Lampung,2021,2025
137,1812,Kabupaten Tulang Bawang Barat,Lampung,2021,1811
138,1813,Kabupaten Pesisir Barat,Lampung,2021,2027
139,1871,Kota Bandar Lampung,Lampung,2021,2063
140,1872,Kota Metro,Lampung,2021,2075
141,1901,Kabupaten Bangka,Kep. Bangka Belitung,2021,2095
142,1902,Kabupaten Belitung,Kep. Bangka Belitung,2021,2133
143,1905,Kabupaten Bangka Barat,Kep. Bangka Belitung,2021,2226
144,1904,Kabupaten Bangka Tengah,Kep. Bangka Belitung,2021,2107
