No,Kelompok Bahan Pangan,Komoditas,konsumsi_pangan,Satuan,Tahun
1,Padi-padian,Padi-padian,116.9,kg/kap/tahun,2018
2,Padi-padian,Beras,97.1,kg/kap/tahun,2018
3,Padi-padian,Jagung,1.6,kg/kap/tahun,2018
4,Padi-padian,Terigu,18.2,kg/kap/tahun,2018
5,Umbi-umbian,Umbi-umbian,16.4,kg/kap/tahun,2018
6,Umbi-umbian,Singkong,9.5,kg/kap/tahun,2018
7,Umbi-umbian,Ubi Jalar,3.4,kg/kap/tahun,2018
8,Umbi-umbian,Kentang,2.4,kg/kap/tahun,2018
9,Umbi-umbian,Sagu,0.4,kg/kap/tahun,2018
10,Umbi-umbian,Umbi Lainnya,0.7,kg/kap/tahun,2018
11,Pangan Hewani,Pangan Hewani,43.2,kg/kap/tahun,2018
12,Pangan Hewani,Daging Ruminansia,5.1,kg/kap/tahun,2018
13,Pangan Hewani,Daging Unggas,7.2,kg/kap/tahun,2018
14,Pangan Hewani,Telur,7.2,kg/kap/tahun,2018
15,Pangan Hewani,Susu,3.1,kg/kap/tahun,2018
16,Pangan Hewani,Ikan,20.7,kg/kap/tahun,2018
17,Minyak dan Lemak,Minyak dan Lemak,9.8,kg/kap/tahun,2018
18,Minyak dan Lemak,Minyak Kelapa,0.8,kg/kap/tahun,2018
19,Minyak dan Lemak,Minyak Sawit,8.7,kg/kap/tahun,2018
20,Minyak dan Lemak,Minyak Lainnya,0.3,kg/kap/tahun,2018
21,Buah/biji berminyak,Buah/biji berminyak,1.4,kg/kap/tahun,2018
22,Buah/biji berminyak,Kelapa,1.2,kg/kap/tahun,2018
23,Buah/biji berminyak,Kemiri,0.2,kg/kap/tahun,2018
24,Kacang-kacangan,Kacang-kacangan,10,kg/kap/tahun,2018
25,Kacang-kacangan,Kedelai,9.1,kg/kap/tahun,2018
26,Kacang-kacangan,Kacang Tanah,0.3,kg/kap/tahun,2018
27,Kacang-kacangan,Kacang Hijau,0.4,kg/kap/tahun,2018
28,Kacang-kacangan,Kacang Lain,0.2,kg/kap/tahun,2018
29,Gula,Gula,7.6,kg/kap/tahun,2018
30,Gula,Gula Pasir,7,kg/kap/tahun,2018
31,Gula,Gula Merah,0.6,kg/kap/tahun,2018
32,Sayuran dan buah,Sayuran dan buah,90.5,kg/kap/tahun,2018
33,Sayuran dan buah,Sayur,54,kg/kap/tahun,2018
34,Sayuran dan buah,Buah,36.5,kg/kap/tahun,2018
35,Lain-lain,Lain-lain,33.8,kg/kap/tahun,2018
36,Lain-lain,Minuman,30.9,kg/kap/tahun,2018
37,Lain-lain,Bumbu-Bumbuan,2.9,kg/kap/tahun,2018
38,Padi-padian,Padi-padian,114.3,kg/kap/tahun,2019
39,Padi-padian,Beras,94.9,kg/kap/tahun,2019
40,Padi-padian,Jagung,1.7,kg/kap/tahun,2019
41,Padi-padian,Terigu,17.8,kg/kap/tahun,2019
42,Umbi-umbian,Umbi-umbian,15.9,kg/kap/tahun,2019
43,Umbi-umbian,Singkong,8.6,kg/kap/tahun,2019
44,Umbi-umbian,Ubi Jalar,3.5,kg/kap/tahun,2019
45,Umbi-umbian,Kentang,2.9,kg/kap/tahun,2019
46,Umbi-umbian,Sagu,0.3,kg/kap/tahun,2019
47,Umbi-umbian,Umbi Lainnya,0.6,kg/kap/tahun,2019
48,Pangan Hewani,Pangan Hewani,42.8,kg/kap/tahun,2019
49,Pangan Hewani,Daging Ruminansia,3.8,kg/kap/tahun,2019
50,Pangan Hewani,Daging Unggas,7.5,kg/kap/tahun,2019
51,Pangan Hewani,Telur,7.2,kg/kap/tahun,2019
52,Pangan Hewani,Susu,3,kg/kap/tahun,2019
53,Pangan Hewani,Ikan,21.4,kg/kap/tahun,2019
54,Minyak dan Lemak,Minyak dan Lemak,9.9,kg/kap/tahun,2019
55,Minyak dan Lemak,Minyak Kelapa,0.7,kg/kap/tahun,2019
56,Minyak dan Lemak,Minyak Sawit,8.8,kg/kap/tahun,2019
57,Minyak dan Lemak,Minyak Lainnya,0.4,kg/kap/tahun,2019
58,Buah/biji berminyak,Buah/biji berminyak,1.4,kg/kap/tahun,2019
59,Buah/biji berminyak,Kelapa,1.2,kg/kap/tahun,2019
60,Buah/biji berminyak,Kemiri,0.2,kg/kap/tahun,2019
61,Kacang-kacangan,Kacang-kacangan,9.7,kg/kap/tahun,2019
62,Kacang-kacangan,Kedelai,8.7,kg/kap/tahun,2019
63,Kacang-kacangan,Kacang Tanah,0.3,kg/kap/tahun,2019
64,Kacang-kacangan,Kacang Hijau,0.4,kg/kap/tahun,2019
65,Kacang-kacangan,Kacang Lain,0.2,kg/kap/tahun,2019
66,Gula,Gula,7.4,kg/kap/tahun,2019
67,Gula,Gula Pasir,6.8,kg/kap/tahun,2019
68,Gula,Gula Merah,0.6,kg/kap/tahun,2019
69,Sayuran dan buah,Sayuran dan buah,89.2,kg/kap/tahun,2019
70,Sayuran dan buah,Sayur,54.9,kg/kap/tahun,2019
71,Sayuran dan buah,Buah,34.3,kg/kap/tahun,2019
72,Lain-lain,Lain-lain,34.4,kg/kap/tahun,2019
73,Lain-lain,Minuman,31.5,kg/kap/tahun,2019
74,Lain-lain,Bumbu-Bumbuan,2.9,kg/kap/tahun,2019
75,Padi-padian,Padi-padian,112.9,kg/kap/tahun,2020
76,Padi-padian,Beras,94,kg/kap/tahun,2020
77,Padi-padian,Jagung,1.8,kg/kap/tahun,2020
78,Padi-padian,Terigu,17.1,kg/kap/tahun,2020
79,Umbi-umbian,Umbi-umbian,15.1,kg/kap/tahun,2020
80,Umbi-umbian,Singkong,8.6,kg/kap/tahun,2020
81,Umbi-umbian,Ubi Jalar,3.2,kg/kap/tahun,2020
82,Umbi-umbian,Kentang,2.5,kg/kap/tahun,2020
83,Umbi-umbian,Sagu,0.3,kg/kap/tahun,2020
84,Umbi-umbian,Umbi Lainnya,0.4,kg/kap/tahun,2020
85,Pangan Hewani,Pangan Hewani,43.2,kg/kap/tahun,2020
86,Pangan Hewani,Daging Ruminansia,3.8,kg/kap/tahun,2020
87,Pangan Hewani,Daging Unggas,7.8,kg/kap/tahun,2020
88,Pangan Hewani,Telur,7.3,kg/kap/tahun,2020
89,Pangan Hewani,Susu,3,kg/kap/tahun,2020
90,Pangan Hewani,Ikan,21.3,kg/kap/tahun,2020
91,Minyak dan Lemak,Minyak dan Lemak,10.1,kg/kap/tahun,2020
92,Minyak dan Lemak,Minyak Kelapa,0.6,kg/kap/tahun,2020
93,Minyak dan Lemak,Minyak Sawit,9.1,kg/kap/tahun,2020
94,Minyak dan Lemak,Minyak Lainnya,0.4,kg/kap/tahun,2020
95,Buah/biji berminyak,Buah/biji berminyak,1.3,kg/kap/tahun,2020
