No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Skor_PPH
1,1109,Kabupaten Simeulue,Aceh,2021,57.7
2,1110,Kabupaten Aceh Singkil,Aceh,2021,81.8
3,1101,Kabupaten Aceh Selatan,Aceh,2021,70.7
4,1102,Kabupaten Aceh Tenggara,Aceh,2021,75.3
5,1103,Kabupaten Aceh Timur,Aceh,2021,69.3
6,1104,Kabupaten Aceh Tengah,Aceh,2021,85.9
7,1105,Kabupaten Aceh Barat,Aceh,2021,88.9
8,1106,Kabupaten Aceh Besar,Aceh,2021,74.7
9,1107,Kabupaten Pidie,Aceh,2021,69.2
10,1111,Kabupaten Bireuen,Aceh,2021,80.6
11,1108,Kabupaten Aceh Utara,Aceh,2021,65
12,1112,Kabupaten Aceh Barat Daya,Aceh,2021,68.1
13,1113,Kabupaten Gayo Lues,Aceh,2021,90.6
14,1116,Kabupaten Aceh Tamiang,Aceh,2021,76.8
15,1115,Kabupaten Nagan Raya,Aceh,2021,86.7
16,1114,Kabupaten Aceh Jaya,Aceh,2021,80.7
17,1117,Kabupaten Bener Meriah,Aceh,2021,82.2
18,1118,Kabupaten Pidie Jaya,Aceh,2021,79.4
19,1171,Kota Banda Aceh,Aceh,2021,79.5
20,1172,Kota Sabang,Aceh,2021,79.6
21,1174,Kota Langsa,Aceh,2021,83.2
22,1173,Kota Lhokseumawe,Aceh,2021,81.6
23,1175,Kota Subulussalam,Aceh,2021,74.8
24,1204,Kabupaten Nias,Sumatera Utara,2021,76.5
25,1213,Kabupaten Mandailing Natal,Sumatera Utara,2021,73.8
26,1203,Kabupaten Tapanuli Selatan,Sumatera Utara,2021,79.4
27,1201,Kabupaten Tapanuli Tengah,Sumatera Utara,2021,77.9
28,1202,Kabupaten Tapanuli Utara,Sumatera Utara,2021,83.5
29,1212,Kabupaten Toba Samosir,Sumatera Utara,2021,89.8
30,1210,Kabupaten Labuhan Batu,Sumatera Utara,2021,71.3
31,1209,Kabupaten Asahan,Sumatera Utara,2021,82.7
32,1208,Kabupaten Simalungun,Sumatera Utara,2021,87.3
33,1211,Kabupaten Dairi,Sumatera Utara,2021,81.1
34,1206,Kabupaten Karo,Sumatera Utara,2021,87
35,1207,Kabupaten Deli Serdang,Sumatera Utara,2021,88.1
36,1205,Kabupaten Langkat,Sumatera Utara,2021,82.9
37,1214,Kabupaten Nias Selatan,Sumatera Utara,2021,69.1
38,1216,Kabupaten Humbang Hasundutan,Sumatera Utara,2021,85.8
39,1215,Kabupaten Pakpak Bharat,Sumatera Utara,2021,83
40,1217,Kabupaten Samosir,Sumatera Utara,2021,86.7
41,1218,Kabupaten Serdang Bedagai,Sumatera Utara,2021,84.1
42,1219,Kabupaten Batu Bara,Sumatera Utara,2021,84.1
43,1220,Kabupaten Padang Lawas Utara,Sumatera Utara,2021,74.9
44,1221,Kabupaten Padang Lawas,Sumatera Utara,2021,76.7
45,1222,Kabupaten Labuhan Batu Selatan,Sumatera Utara,2021,85.5
46,1223,Kabupaten Labuhan Batu Utara,Sumatera Utara,2021,82.6
47,1224,Kabupaten Nias Utara,Sumatera Utara,2021,67.7
48,1225,Kabupaten Nias Barat,Sumatera Utara,2021,67.6
49,1273,Kota Sibolga,Sumatera Utara,2021,75.8
50,1274,Kota Tanjung Balai,Sumatera Utara,2021,82.6
51,1272,Kota Pematang Siantar,Sumatera Utara,2021,89
52,1276,Kota Tebing Tinggi,Sumatera Utara,2021,91.8
53,1271,Kota Medan,Sumatera Utara,2021,87.9
54,1275,Kota Binjai,Sumatera Utara,2021,84
55,1277,Kota Padang Sidimpuan,Sumatera Utara,2021,87.4
56,1278,Kota Gunungsitoli,Sumatera Utara,2021,76
57,1309,Kabupaten Kepulauan Mentawai,Sumatera Barat,2021,84.9
58,1301,Kabupaten Pesisir Selatan,Sumatera Barat,2021,80.4
