No,Kode Provinsi,Nama Provinsi,Tahun,Skor PPH
1,11,Aceh,2018,72.7
2,12,Sumatera Utara,2018,84.8
3,13,Sumatera Barat,2018,81.2
4,14,Riau,2018,83.5
5,15,Jambi,2018,85.3
6,16,Sumatera Selatan,2018,86.9
7,17,Bengkulu,2018,83.0
8,18,Lampung,2018,82.7
9,19,Kepulauan Bangka Belitung,2018,81.5
10,21,Kepulauan Riau,2018,83.3
11,31,DKI Jakarta,2018,89.1
12,32,Jawa Barat,2018,86.6
13,33,Jawa Tengah,2018,90.6
14,34,DI Yogyakarta,2018,95.1
15,35,Jawa Timur,2018,89.5
16,36,Banten,2018,87.1
17,51,Bali,2018,90.9
18,52,Nusa Tenggara Barat,2018,86.8
19,53,Nusa Tenggara Timur,2018,69.0
20,61,Kalimantan Barat,2018,74.8
21,62,Kalimantan Tengah,2018,83.4
22,63,Kalimantan Selatan,2018,83.8
23,64,Kalimantan Timur,2018,83.3
24,65,Kalimantan Utara,2018,79.9
25,71,Sulawesi Utara,2018,84.4
26,72,Sulawesi Tengah,2018,80.0
27,73,Sulawesi Selatan,2018,84.0
28,74,Sulawesi Tenggara,2018,81.3
29,75,Gorontalo,2018,76.7
30,76,Sulawesi Barat,2018,79.9
31,81,Maluku,2018,70.9
32,82,Maluku Utara,2018,76.2
33,91,Papua Barat,2018,81.0
34,94,Papua,2018,64.3
35,11,Aceh,2019,72.4
36,12,Sumatera Utara,2019,86.1
37,13,Sumatera Barat,2019,81.4
38,14,Riau,2019,84.0
39,15,Jambi,2019,84.6
40,16,Sumatera Selatan,2019,84.3
41,17,Bengkulu,2019,84.4
42,18,Lampung,2019,80.1
43,19,Kepulauan Bangka Belitung,2019,86.9
44,21,Kepulauan Riau,2019,83.8
45,31,DKI Jakarta,2019,88.2
46,32,Jawa Barat,2019,86.1
47,33,Jawa Tengah,2019,88.4
48,34,DI Yogyakarta,2019,94.4
49,35,Jawa Timur,2019,88.4
50,36,Banten,2019,86.2
51,51,Bali,2019,89.1
52,52,Nusa Tenggara Barat,2019,94.2
53,53,Nusa Tenggara Timur,2019,69.2
54,61,Kalimantan Barat,2019,76.3
55,62,Kalimantan Tengah,2019,83.7
56,63,Kalimantan Selatan,2019,84.9
57,64,Kalimantan Timur,2019,85.8
58,65,Kalimantan Utara,2019,81.1
59,71,Sulawesi Utara,2019,85.3
60,72,Sulawesi Tengah,2019,82.2
61,73,Sulawesi Selatan,2019,83.4
62,74,Sulawesi Tenggara,2019,84.8
63,75,Gorontalo,2019,80.5
64,76,Sulawesi Barat,2019,78.8
65,81,Maluku,2019,71.1
66,82,Maluku Utara,2019,76.7
67,91,Papua Barat,2019,65.9
68,94,Papua,2019,80.8
69,11,Aceh,2020,74.8
70,12,Sumatera Utara,2020,85.3
71,13,Sumatera Barat,2020,83.8
72,14,Riau,2020,84.4
73,15,Jambi,2020,85.4
74,16,Sumatera Selatan,2020,87.3
75,17,Bengkulu,2020,86.1
76,18,Lampung,2020,84.5
77,19,Kepulauan Bangka Belitung,2020,85.3
78,21,Kepulauan Riau,2020,83.4
79,31,DKI Jakarta,2020,86.3
80,32,Jawa Barat,2020,84.8
81,33,Jawa Tengah,2020,88.0
82,34,DI Yogyakarta,2020,94.3
83,35,Jawa Timur,2020,87.0
84,36,Banten,2020,85.4
85,51,Bali,2020,91.6
86,52,Nusa Tenggara Barat,2020,91.3
87,53,Nusa Tenggara Timur,2020,67.9
88,61,Kalimantan Barat,2020,76.4
89,62,Kalimantan Tengah,2020,84.6
90,63,Kalimantan Selatan,2020,84.5
91,64,Kalimantan Timur,2020,86.7
92,65,Kalimantan Utara,2020,80.5
93,71,Sulawesi Utara,2020,86.0
94,72,Sulawesi Tengah,2020,81.6
95,73,Sulawesi Selatan,2020,80.2
96,74,Sulawesi Tenggara,2020,81.8
97,75,Gorontalo,2020,76.6
98,76,Sulawesi Barat,2020,78.0
99,81,Maluku,2020,70.1
100,82,Maluku Utara,2020,76.6
101,91,Papua Barat,2020,69.3
102,94,Papua,2020,79.1
103,11,Aceh,2021,76.5
104,12,Sumatera Utara,2021,85.5
105,13,Sumatera Barat,2021,82.7
106,14,Riau,2021,84.1
107,15,Jambi,2021,86.4
108,16,Sumatera Selatan,2021,88.5
109,17,Bengkulu,2021,89.1
110,18,Lampung,2021,83.7
111,19,Kepulauan Bangka Belitung,2021,89.0
